city_name,area,district_name,street_name,new
上海,0,704,624,704
上海,1,309,270,309
上海,2,127,109,127
上海,3,83,78,83
上海,4,33,32,33
上海,5,51,44,51
上海,6,15,15,15
上海,7,6,5,6
上海,8,6,5,6
上海,9,1,1,1
上海,10,19,16,19
上海,12,5,5,5
上海,15,6,5,6
上海,16,1,1,1
上海,17,1,1,1
上海,20,5,5,5
上海,25,2,2,2
上海,30,2,2,2
上海,32,1,1,1
上海,40,1,1,1
上海,50,5,5,5
上海,60,1,1,1
上海,150,1,1,1
北京,0,1067,990,1067
北京,1,514,494,514
北京,2,212,205,212
北京,3,139,135,139
北京,4,70,67,70
北京,5,87,82,87
北京,6,25,25,25
北京,7,14,13,14
北京,8,30,27,30
北京,9,6,6,6
北京,10,39,38,39
北京,11,2,2,2
北京,12,12,12,12
北京,13,1,1,1
北京,14,1,1,1
北京,15,13,13,13
北京,16,2,1,2
北京,17,1,1,1
北京,20,20,19,20
北京,22,1,1,1
北京,23,1,1,1
北京,24,2,0,2
北京,25,3,3,3
北京,26,1,1,1
北京,30,12,12,12
北京,32,1,1,1
北京,40,3,3,3
北京,50,5,4,5
北京,60,1,1,1
北京,80,1,1,1
北京,100,8,6,8
北京,200,2,1,2
南京,0,55,46,55
南京,1,53,50,53
南京,2,25,22,25
南京,3,13,12,13
南京,4,4,4,4
南京,5,3,3,3
南京,6,4,4,4
南京,8,1,1,1
南京,10,8,7,8
南京,15,1,1,1
南京,20,2,1,2
南京,22,1,1,1
南京,100,1,1,1
厦门,10,1,0,1
合肥,3,1,1,1
合肥,10,1,1,1
大连,0,11,9,11
大连,1,12,9,12
大连,2,6,5,6
大连,3,8,6,8
大连,4,2,1,2
大连,5,2,2,2
大连,7,1,0,1
大连,10,2,1,2
大连,30,2,2,2
天津,0,15,10,15
天津,1,10,6,10
天津,2,8,4,8
天津,3,5,5,5
天津,4,2,2,2
天津,5,5,4,5
天津,7,1,0,1
天津,10,4,1,4
广州,0,173,137,173
广州,1,106,83,106
广州,2,61,48,61
广州,3,41,30,41
广州,4,22,19,22
广州,5,18,15,18
广州,6,5,5,5
广州,7,5,5,5
广州,8,4,4,4
广州,10,10,7,10
广州,12,2,1,2
广州,15,3,2,3
广州,18,1,1,1
广州,20,1,1,1
成都,0,86,76,86
成都,1,81,75,81
成都,2,36,30,36
成都,3,21,19,21
成都,4,9,7,9
成都,5,12,10,12
成都,6,11,11,11
成都,7,3,3,3
成都,8,3,2,3
成都,10,5,3,5
成都,12,2,2,2
成都,13,1,1,1
成都,15,2,1,2
成都,20,2,2,2
成都,21,1,1,1
成都,23,1,1,1
成都,30,2,2,2
无锡,0,7,5,7
无锡,1,4,4,4
无锡,2,3,3,3
无锡,3,1,1,1
无锡,4,1,0,1
杭州,0,100,75,100
杭州,1,111,95,111
杭州,2,50,43,50
杭州,3,47,44,47
杭州,4,16,13,16
杭州,5,16,14,16
杭州,6,8,7,8
杭州,7,4,3,4
杭州,8,5,5,5
杭州,9,1,1,1
杭州,10,8,5,8
杭州,12,1,1,1
杭州,15,1,1,1
杭州,16,2,2,2
杭州,20,3,2,3
杭州,25,1,1,1
杭州,40,1,1,1
杭州,50,1,1,1
杭州,70,1,0,1
杭州,100,1,1,1
武汉,0,38,29,38
武汉,1,36,28,36
武汉,2,35,31,35
武汉,3,22,20,22
武汉,4,8,7,8
武汉,5,6,6,6
武汉,6,3,3,3
武汉,7,3,3,3
武汉,10,4,4,4
武汉,15,2,2,2
武汉,20,2,2,2
武汉,30,1,1,1
沈阳,1,4,4,4
沈阳,2,5,4,5
沈阳,3,1,1,1
沈阳,4,1,0,1
沈阳,40,1,1,1
深圳,0,305,266,305
深圳,1,188,177,188
深圳,2,81,70,81
深圳,3,82,78,82
深圳,4,19,19,19
深圳,5,32,27,32
深圳,6,8,8,8
深圳,7,4,4,4
深圳,8,4,4,4
深圳,9,3,3,3
深圳,10,12,10,12
深圳,11,3,2,3
深圳,12,3,3,3
深圳,13,3,3,3
深圳,15,8,7,8
深圳,20,7,6,7
深圳,30,4,3,4
深圳,50,2,1,2
深圳,100,2,2,2
深圳,260,1,1,1
石家庄,0,1,0,1
福州,0,7,5,7
福州,1,12,10,12
福州,2,13,11,13
福州,3,4,4,4
福州,4,2,1,2
福州,10,1,1,1
福州,50,1,1,1
苏州,1,1,0,1
苏州,2,1,1,1
西安,0,52,31,52
西安,1,35,26,35
西安,2,23,13,23
西安,3,19,14,19
西安,4,3,2,3
西安,5,8,7,8
西安,6,5,5,5
西安,7,1,1,1
西安,8,3,3,3
西安,10,2,1,2
西安,11,1,0,1
西安,20,3,3,3
西安,25,1,1,1
郑州,0,2,2,2
郑州,1,12,11,12
郑州,2,5,5,5
郑州,3,4,3,4
郑州,4,3,2,3
郑州,5,2,2,2
郑州,6,1,1,1
郑州,7,1,1,1
郑州,11,2,2,2
郑州,12,2,2,2
郑州,16,1,1,1
重庆,0,15,13,15
重庆,1,26,22,26
重庆,2,14,12,14
重庆,3,7,5,7
重庆,4,2,2,2
重庆,5,3,2,3
重庆,8,2,2,2
重庆,10,4,1,4
重庆,15,1,1,1
重庆,20,2,2,2
重庆,30,1,1,1
重庆,50,1,1,1
长沙,0,3,1,3
长沙,1,11,9,11
长沙,2,8,7,8
长沙,3,4,4,4
长沙,4,2,2,2
长沙,5,3,1,3
长沙,25,1,1,1
