dt,uid,uid,uid,uid
2018-02-22,445,227,73,145
2018-02-23,653,326,75,252
2018-02-24,691,401,78,212
2018-02-25,411,180,85,146
2018-02-26,915,451,142,322
2018-02-27,1000,488,168,344
2018-02-28,667,252,113,302
2018-03-01,559,218,91,250
2018-03-02,716,356,118,242
2018-03-03,534,305,91,138
2018-03-04,353,171,72,110
2018-03-05,906,435,129,342
2018-03-06,854,430,119,305
2018-03-07,890,473,120,297
2018-03-08,752,386,113,253
2018-03-09,763,384,138,241
2018-03-10,546,335,83,128
2018-03-11,337,169,63,105
2018-03-12,808,391,118,299
2018-03-13,812,385,127,300
2018-03-14,847,381,136,330
2018-03-15,786,390,135,261
2018-03-16,776,374,143,259
2018-03-17,98,51,21,26
2018-03-18,53,23,17,13
2018-03-19,749,361,116,272
2018-03-20,761,372,121,268
2018-03-21,731,369,105,257
2019-02-11,236,90,32,114
2019-02-12,342,113,56,173
2019-02-13,457,149,71,237
2019-02-14,374,115,65,194
2019-02-15,316,108,42,166
2019-02-16,134,70,17,47
2019-02-17,97,29,19,49
2019-02-18,366,104,53,209
2019-02-19,481,180,81,220
2019-02-20,566,197,111,258
2019-02-21,505,186,94,225
2019-02-22,456,181,73,202
2019-02-23,35,23,4,8
2019-02-24,15,8,2,5
2019-02-25,473,172,79,222
2019-02-26,489,189,80,220
2019-02-27,603,256,129,218
2019-02-28,298,99,52,147
2019-03-01,305,83,58,164
2019-03-02,156,78,33,45
2019-03-03,177,88,31,58
2019-03-04,355,126,70,159
2019-03-05,340,126,45,169
2019-03-06,416,163,84,169
2019-03-07,354,108,64,182
2019-03-08,377,151,65,161
2019-03-09,153,69,41,43
2019-03-10,118,49,26,43
